GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,SOCIAL,7,2,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,DOMESTICO,9451,9380,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,COMERCIAL,166,166,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,INDUSTRIAL,8,8,2026,202605,20260531
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,ESTATAL,0,0,2026,202605,20260531
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,SOCIAL,948,166,2026,202605,20260531
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,DOMESTICO,171596,165372,2026,202605,20260531
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,COMERCIAL,7405,5597,2026,202605,20260531
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,INDUSTRIAL,748,657,2026,202605,20260531
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,ESTATAL,6,2,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,SOCIAL,66,27,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,DOMESTICO,9275,10320,2026,202605,20260531
